Location,Zone
Albury,4
BadgerysCreek,5
Cobar,4
CoffsHarbour,2
Moree,4
Newcastle,5
NorahHead,5
NorfolkIsland,7
Penrith,5
Richmond,5
Sydney,5
SydneyAirport,5
WaggaWagga,4
Williamtown,5
Wollongong,5
Canberra,7
Tuggeranong,4
MountGinini,4
Ballarat,7
Bendigo,6
Sale,6
MelbourneAirport,6
Melbourne,6
Mildura,4
Nhil,4
Portland,6
Watsonia,6
Dartmoor,6
Brisbane,2
Cairns,1
GoldCoast,2
Townsville,1
Adelaide,5
MountGambier,6
Nuriootpa,5
Woomera,4
Albany,6
Witchcliffe,5
PearceRAAF,5
PerthAirport,5
Perth,5
SalmonGums,6
Walpole,6
Hobart,7
Launceston,7
AliceSprings,3
Darwin,1
Katherine,1
Uluru,4